"","X4","X5"
"1","Pos","Height"
"2","G","1.88"
"3","D","1.90"
"4","D","1.70"
"5","M","1.88"
"6","D","1.84"
"7","M","1.77"
"8","M","1.89"
"9","F","1.93"
"10","M","1.67"
"11","M","1.82"
"12","G","1.90"
"13","M","1.85"
"14","F","1.84"
"15","M","1.80"
"16","M","1.76"
"17","D","1.88"
"18","F","1.76"
"19","D","1.91"
"20","D","1.80"
"21","D","1.87"
"22","F","1.85"
"23","D","1.88"
"24","D","1.79"
"25","F","1.79"
"26","M","1.80"
"27","M","1.90"
"28","G","1.97"
"29","M","1.79"
"30","M","1.78"
"31","M","1.85"
"32","M","1.80"
"33","G","1.90"
"34","D","1.90"
"35","D","1.83"
"36","F","1.78"
"37","F","1.83"
"38","M","1.77"
"39","D","1.72"
"40","M","1.78"
"41","M","1.68"
"42","M","1.69"
"43","M","1.69"
"44","Players no longer at this club","Players no longer at this club"
"45","Pos","Height"
"46","M","1.75"
"47","D","1.89"
"48","F","1.74"
"49","M","1.83"
"50","M","1.89"
"51","F","1.78"
"52","D","1.78"
"53","F","1.86"
"54","M","1.79"
"55","F","1.80"
"56","M","1.74"
"57","D","1.90"
